"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-04-15",30415,2546,1783,14646,3510,59924,82923,2658358,108511,223,6032,640510,29859,43448,56,3396043,147969
"2020-04-14",27869,2353,1715,14039,3174,59600,79413,2549847,126182,221,5975,610651,26078,39304,56,3248074,162621
"2020-04-13",25516,1630,1622,13620,4480,56237,76239,2423665,107474,208,6168,584573,24398,35381,56,3085453,130932
"2020-04-12",23886,1700,1449,13620,3331,55449,71759,2316191,111132,158,5968,560175,28001,34081,56,2954521,137974
"2020-04-11",22186,2079,1399,13285,3747,55557,68428,2205059,110160,152,5978,532174,31105,31567,56,2816547,141237
"2020-04-10",20107,2072,1179,12693,4909,53167,64681,2094899,118212,39,5937,501069,33489,29015,56,2675310,158293
"2020-04-09",18035,2062,918,12450,3831,51313,59772,1976687,139997,39,5794,467580,35090,24835,56,2517017,174533
"2020-04-08",15973,1997,862,10337,4321,45515,55941,1836690,119133,39,4131,432490,30917,21132,56,2342484,160208
"2020-04-07",13976,2044,738,9978,2997,43849,51620,1717557,122368,43,4076,401573,30701,18481,56,2182276,158619
"2020-04-06",11932,1313,663,7079,2943,36159,48623,1595189,121910,39,2961,370872,28409,16557,56,2023657,147448
"2020-04-05",10619,1339,609,5811,3937,32180,45680,1473279,94604,39,652,342463,25655,14589,56,1876209,121908
"2020-04-04",9280,1481,403,5500,5012,30268,41743,1378675,195398,39,656,316808,32885,12844,56,1754301,230651
"2020-04-03",7799,1285,335,4928,4603,25777,36731,1183277,100552,39,623,283923,31838,10861,56,1523650,136733
"2020-04-02",6514,1178,305,4513,4198,22997,32128,1082725,93116,32,574,252085,28045,8586,56,1386917,123212
"2020-04-01",5336,1004,256,3937,4134,20906,27930,989609,83448,32,561,224040,26116,7084,56,1263705,114960
"2020-03-31",4332,907,230,3487,3998,18155,23796,906161,87930,,507,197924,25184,5666,56,1148745,114582
"2020-03-30",3425,588,187,3087,2472,15917,19798,818231,95634,,451,172740,21470,4560,56,1034163,114226
"2020-03-29",2837,504,156,2456,2794,14055,17326,722597,65412,,439,151270,19444,4076,56,919937,79327
"2020-03-28",2333,551,140,2174,2409,12409,14532,657185,97762,,390,131826,19606,3145,56,840610,101478
"2020-03-27",1782,408,124,1792,2572,10978,12123,559423,77275,,324,112220,19244,2418,56,739132,95630
"2020-03-26",1374,316,91,1299,2478,7805,9551,482148,86516,,258,92976,17734,97,56,643502,108279
"2020-03-25",1058,238,74,,1949,5140,7073,395632,70882,,167,75242,12891,146,56,535223,91579
"2020-03-24",820,238,,,1178,3938,5124,324750,59562,,,62351,10749,,56,443644,73458
"2020-03-23",582,101,,,920,2812,3946,265188,46432,,,51602,11435,,56,370186,58006
"2020-03-22",481,146,,,1005,2173,3026,218756,35698,,,40167,9154,,56,312180,49669
"2020-03-21",335,62,,,1849,1492,2021,183058,40052,,,31013,6816,,56,262511,51367
"2020-03-20",273,70,,,44,1042,172,143006,29766,,,24197,6112,,56,211144,44131
"2020-03-19",203,48,,,34,617,128,113240,23147,,,18085,4700,,56,167013,34132
"2020-03-18",155,31,,,18,416,94,90093,18756,,,13385,3364,,56,132881,28259
"2020-03-17",124,24,,,33,325,76,71337,16411,,,10021,2249,,56,104622,24247
"2020-03-16",100,21,,,6,,43,54926,19511,,,7772,1857,,56,80375,24384
"2020-03-15",79,15,,,10,,37,35415,6078,,,5915,1188,,51,55991,9289
"2020-03-14",64,8,,,4,,27,29337,5250,,,4727,982,,51,46702,8912
"2020-03-13",56,5,,,6,,23,24087,6210,,,3745,949,,51,37790,9340
"2020-03-12",51,8,,,5,,17,17877,5304,,,2796,743,,51,28450,6625
"2020-03-11",43,6,,,3,,12,12573,3808,,,2053,502,,51,21825,4589
"2020-03-10",37,2,,,0,,9,8765,2621,,,1551,439,,51,17236,3167
"2020-03-09",35,4,,,3,,9,6144,1802,,,1112,285,,51,14069,2141
"2020-03-08",31,4,,,0,,6,4342,910,,,827,196,,51,11928,1165
"2020-03-07",27,1,,,0,,6,3432,714,,,631,134,,51,10763,962
"2020-03-06",26,6,,,1,,6,2718,775,,,497,130,,39,9801,953
"2020-03-05",20,4,,,1,,5,1943,546,,,367,88,,30,8848,670
"2020-03-04",16,2,,,4,,4,1397,951,,,279,134,,24,8178,1013
"2020-03-03",14,3,,,0,,,446,203,,,145,51,,13,7165,292
"2020-03-02",11,3,,,0,,,243,158,,,94,44,,11,6873,212
"2020-03-01",8,3,,,0,,,85,61,,,50,32,,10,6661,109
"2020-02-29",5,1,,,0,,,24,24,,,18,18,,7,6552,62
"2020-02-28",4,2,,,0,,,0,0,,,0,0,,7,6490,3
"2020-02-27",2,0,,,0,,,0,0,,,0,0,,7,6487,6446
"2020-02-26",2,2,,,0,,,0,0,,,0,0,,5,41,0
"2020-02-25",0,0,,,0,,,0,0,,,0,0,,5,41,1
"2020-02-24",0,0,,,0,,,0,0,,,0,0,,5,40,2
"2020-02-23",0,0,,,0,,,0,0,,,0,0,,5,38,0
"2020-02-22",0,0,,,0,,,0,0,,,0,0,,5,38,1
"2020-02-21",0,0,,,0,,,0,0,,,0,0,,5,37,1
"2020-02-20",0,0,,,0,,,0,0,,,0,0,,5,36,1
"2020-02-19",0,0,,,0,,,0,0,,,0,0,,5,35,6
"2020-02-18",0,0,,,0,,,0,0,,,0,0,,5,29,0
"2020-02-17",0,0,,,0,,,0,0,,,0,0,,5,29,1
"2020-02-16",0,0,,,0,,,0,0,,,0,0,,5,28,2
"2020-02-15",0,0,,,0,,,0,0,,,0,0,,5,26,4
"2020-02-14",0,0,,,0,,,0,0,,,0,0,,4,22,0
"2020-02-13",0,0,,,0,,,0,0,,,0,0,,4,22,1
"2020-02-12",0,0,,,0,,,0,0,,,0,0,,4,21,1
"2020-02-11",0,0,,,0,,,0,0,,,0,0,,4,20,1
"2020-02-10",0,0,,,0,,,0,0,,,0,0,,4,19,1
"2020-02-09",,0,,,0,,,0,0,,,0,0,,3,18,0
"2020-02-08",,0,,,0,,,0,0,,,0,0,,3,18,2
"2020-02-07",,0,,,0,,,0,0,,,0,0,,3,16,0
"2020-02-06",,0,,,0,,,0,0,,,0,0,,3,16,1
"2020-02-05",,0,,,0,,,0,0,,,0,0,,3,15,0
"2020-02-04",,0,,,0,,,0,0,,,0,0,,3,15,4
"2020-02-03",,0,,,0,,,0,0,,,0,0,,3,11,3
"2020-02-02",,0,,,0,,,0,0,,,0,0,,3,8,0
"2020-02-01",,0,,,0,,,0,0,,,0,0,,3,8,0
"2020-01-31",,0,,,0,,,0,0,,,0,0,,3,8,3
"2020-01-30",,0,,,0,,,0,0,,,0,0,,3,5,0
"2020-01-29",,0,,,0,,,0,0,,,0,0,,3,5,2
"2020-01-28",,0,,,0,,,0,0,,,0,0,,2,3,0
"2020-01-27",,0,,,0,,,0,0,,,0,0,,2,3,1
"2020-01-26",,0,,,0,,,0,0,,,0,0,,2,2,0
"2020-01-25",,0,,,0,,,0,0,,,0,0,,2,2,0
"2020-01-24",,0,,,0,,,0,0,,,0,0,,2,2,0
"2020-01-23",,0,,,0,,,0,0,,,0,0,,2,2,1
"2020-01-22",,0,,,0,,,0,0,,,0,0,,2,1,0
